round,stage,heterogeneity,norm_mean,norm_median,mean_vector_norm,norm_client_0,norm_client_1,norm_client_2,norm_client_3,norm_client_4,norm_client_5,norm_client_6,norm_client_7,norm_client_8,norm_client_9,cosine_mean,cosine_median,cosine_valid_pairs
0,raw_gradient,11.554071426391602,3.397568464279175,3.397062301635742,0.5969653129577637,2.4941599369049072,2.4803895950317383,3.7782185077667236,3.29494309425354,3.2953617572784424,3.498762607574463,4.325212478637695,2.9967386722564697,4.292014122009277,3.5198841094970703,-0.07759271562099457,-0.0923689752817154,45
0,clipped_gradient,11.554071426391602,3.397568464279175,3.397062301635742,0.5969653129577637,2.4941599369049072,2.4803895950317383,3.7782185077667236,3.29494309425354,3.2953617572784424,3.498762607574463,4.325212478637695,2.9967386722564697,4.292014122009277,3.5198841094970703,-0.07759271562099457,-0.0923689752817154,45
0,client_update,0.11554070562124252,0.33975687623023987,0.3397062420845032,0.05969653278589249,0.24941597878932953,0.24803896248340607,0.3778218626976013,0.32949432730674744,0.32953619956970215,0.3498762547969818,0.432521253824234,0.299673855304718,0.4292014539241791,0.35198843479156494,-0.07759271562099457,-0.0923689678311348,45
5,raw_gradient,13.778487205505371,3.733661651611328,3.691770076751709,0.6480011940002441,3.8482706546783447,3.5207905769348145,3.1919949054718018,4.1589460372924805,2.935676336288452,3.7908284664154053,3.483487844467163,3.5927116870880127,4.865065574645996,3.948847532272339,-0.08077417314052582,-0.08294656872749329,45
5,clipped_gradient,10.390820503234863,3.2315094470977783,3.2397608757019043,0.5473893880844116,2.5563547611236572,2.5095410346984863,3.1919949054718018,3.287527084350586,2.935676336288452,3.5111470222473145,3.483487844467163,3.0137135982513428,4.29440975189209,3.5312435626983643,-0.08077415823936462,-0.08294656872749329,45
5,client_update,2.1854913234710693,1.4783939123153687,1.4935585260391235,0.2369731217622757,1.1447885036468506,1.1339497566223145,1.558943510055542,1.3680212497711182,1.428173542022705,1.5794516801834106,1.7135287523269653,1.3224714994430542,1.9287245273590088,1.6058857440948486,-0.0851907804608345,-0.0948498547077179,45
10,raw_gradient,18.2808837890625,4.299689769744873,4.508884429931641,0.9994270205497742,4.5587358474731445,2.928900957107544,4.3802103996276855,4.7799072265625,3.195840358734131,4.459033489227295,5.630389213562012,3.0981459617614746,5.400567531585693,4.5651702880859375,-0.06129877269268036,-0.09673180431127548,45
10,clipped_gradient,11.367228507995605,3.411569356918335,3.401945114135742,0.7761616110801697,2.626462459564209,2.5463075637817383,3.738039970397949,3.2962138652801514,3.195840358734131,3.507676601409912,4.3030924797058105,3.037034749984741,4.313253879547119,3.551769256591797,-0.061298780143260956,-0.09673181176185608,45
10,client_update,4.588148593902588,2.1455564498901367,2.108452320098877,0.37887951731681824,1.6830850839614868,1.6320980787277222,2.158989667892456,1.9729877710342407,2.057915210723877,2.2121758460998535,2.6620466709136963,1.9524657726287842,2.7991058826446533,2.3246939182281494,-0.08229414373636246,-0.08838828653097153,45
15,raw_gradient,27.679723739624023,5.334249019622803,4.859501838684082,1.579077124595642,6.883620738983154,4.437972545623779,3.7757883071899414,5.444314479827881,4.545804500579834,5.17319917678833,7.979569435119629,4.04725456237793,6.5688347816467285,4.4861369132995605,-0.0408286415040493,-0.049136437475681305,45
