round,client_id,input_norm,output_norm,threshold,scale,clipped
0,0,2.494159698486328,2.494159698486328,2.494159698486328,1.0,0
0,1,2.4803895950317383,2.4803895950317383,2.4803895950317383,1.0,0
0,2,3.7782185077667236,3.7782185077667236,3.7782185077667236,1.0,0
0,3,3.294943332672119,3.294943332672119,3.294943332672119,1.0,0
0,4,3.2953617572784424,3.2953617572784424,3.2953617572784424,1.0,0
0,5,3.498762369155884,3.498762369155884,3.498762369155884,1.0,0
0,6,4.3252129554748535,4.3252129554748535,4.3252129554748535,1.0,0
0,7,2.9967386722564697,2.9967386722564697,2.9967386722564697,1.0,0
0,8,4.292014122009277,4.292014122009277,4.292014122009277,1.0,0
0,9,3.5198843479156494,3.5198843479156494,3.5198843479156494,1.0,0
5,0,3.8482706546783447,2.5563547611236572,2.5563546324481865,0.6642866343134923,1
5,1,3.5207905769348145,2.5095410346984863,2.5095410547456956,0.7127777071260177,1
5,2,3.1919949054718018,3.1919949054718018,3.770100557944307,1.0,0
5,3,4.1589460372924805,3.287527084350586,3.287526940441561,0.7904712046927164,1
5,4,2.935676336288452,2.935676336288452,3.293464074842007,1.0,0
5,5,3.7908287048339844,3.5111472606658936,3.5111472882945987,0.926221555774481,1
5,6,3.483488082885742,3.483488082885742,4.3028316351953215,1.0,0
5,7,3.592711925506592,3.0137133598327637,3.0137135394398284,0.8388408039166162,1
5,8,4.865065574645996,4.29440975189209,4.294409472679247,0.8827033646313329,1
5,9,3.948847532272339,3.5312435626983643,3.531243465183742,0.8942466210302966,1
10,0,4.5587358474731445,2.62646222114563,2.626462495336295,0.5761382780275475,1
10,1,2.928900718688965,2.546307325363159,2.546307258882061,0.8693730412627089,1
10,2,4.3802103996276855,3.738039970397949,3.73803957266617,0.8533927892403707,1
10,3,4.7799072265625,3.2962138652801514,3.2962137325031455,0.6895978748212325,1
10,4,3.195840358734131,3.195840358734131,3.2965998212976024,1.0,0
10,5,4.459033489227295,3.507676362991333,3.507676263340322,0.7866449918946847,1
10,6,5.630389213562012,4.3030924797058105,4.303092468783955,0.7642619926418018,1
10,7,3.0981459617614746,3.0370349884033203,3.037034781066627,0.9802749857132589,1
10,8,5.400567531585693,4.313253402709961,4.313253755470922,0.7986666915066832,1
10,9,4.5651702880859375,3.551769256591797,3.5517694715517916,0.7780146264995003,1
15,0,6.883620738983154,2.7439005374908447,2.7439004800242834,0.398612974412093,1
15,1,4.437972545623779,2.596308708190918,2.5963086126241937,0.5850213541206108,1
15,2,3.7757883071899414,3.762118101119995,3.7621180012124897,0.9963795094010129,1
15,3,5.444314479827881,3.335944652557373,3.335944511944182,0.6127391547489809,1
15,4,4.545804500579834,3.3345155715942383,3.3345156818260233,0.7335369506473296,1
15,5,5.173198699951172,3.5521836280822754,3.5521837102396936,0.6866513030160244,1
15,6,7.979569435119629,4.387419700622559,4.3874195881477664,0.5498316339366226,1
15,7,4.04725456237793,3.0952646732330322,3.095265026915852,0.7647813166993963,1
15,8,6.5688347816467285,4.407144546508789,4.407144547668105,0.6709172468186162,1
15,9,4.4861369132995605,3.6061742305755615,3.606174289200867,0.8038484558696214,1
20,0,7.329665184020996,2.937026023864746,2.9370260054947384,0.4007039817135981,1
20,1,4.913960933685303,2.742410182952881,2.7424102886106922,0.5580854670930742,1
20,2,6.628182888031006,3.825450897216797,3.8254507593655163,0.577149267278773,1
20,3,5.811725616455078,3.4507334232330322,3.4507337201008945,0.5937536716225503,1
20,4,4.93208122253418,3.4045095443725586,3.4045096173489493,0.6902784830099106,1
20,5,5.270944595336914,3.6239681243896484,3.6239682965642723,0.6875367514952996,1
20,6,8.6282377243042,4.591812610626221,4.5918122516495075,0.5321842950260756,1
20,7,5.075839519500732,3.225538730621338,3.2255388326483536,0.6354690132005212,1
20,8,9.157370567321777,4.5814924240112305,4.581492355349572,0.5003065443655146,1
20,9,5.738821029663086,3.716001033782959,3.7160009731796197,0.6475199373835705,1
25,0,6.827777862548828,3.1206047534942627,3.120604779147929,0.4570454423555796,1
25,1,5.009122848510742,2.8914613723754883,2.891461543636589,0.577239061572456,1
25,2,6.321784019470215,3.9487617015838623,3.9487616369411,0.624627745810712,1
25,3,5.909060478210449,3.5601370334625244,3.560137293853508,0.6024878314565342,1
25,4,6.45574426651001,3.4957902431488037,3.4957900072802923,0.5415007315707436,1
25,5,6.888167858123779,3.732072114944458,3.732072149545087,0.5418091126427647,1
25,6,8.177929878234863,4.799971103668213,4.7999712219466755,0.5869420715434461,1
25,7,6.613444805145264,3.3316731452941895,3.3316731944630122,0.5037727301666064,1
25,8,7.707895755767822,4.861020088195801,4.861020389702115,0.6306546225094309,1
25,9,6.643856525421143,3.858398199081421,3.85839870781674,0.5807467672304745,1
30,0,8.480522155761719,3.287672996520996,3.287673032548921,0.387673416345871,1
30,1,5.302518844604492,3.0219573974609375,3.0219573771717623,0.5699097892949292,1
30,2,8.138190269470215,4.082737445831299,4.082737430009758,0.5016763322857379,1
30,3,8.729775428771973,3.6922388076782227,3.692238396502683,0.42294774221902454,1
30,4,5.714568614959717,3.6585693359375,3.6585689933148133,0.6402179381239769,1
30,5,7.098471641540527,3.8271028995513916,3.827102748879669,0.539144634621774,1
30,6,9.806771278381348,4.96891450881958,4.968915052059305,0.5066820024418599,1
30,7,8.014336585998535,3.5162360668182373,3.5162362194887944,0.43874324831343936,1
30,8,9.92136001586914,5.120884895324707,5.120885368304647,0.5161474724366307,1
30,9,9.904227256774902,4.07379150390625,4.0737914005566385,0.41131846011707857,1
35,0,8.110641479492188,3.495237350463867,3.4952371689008364,0.4309446249475579,1
35,1,7.589670181274414,3.178494691848755,3.1784951146961693,0.4187922025506305,1
35,2,6.7892842292785645,4.2348313331604,4.2348311729693675,0.6237522528365848,1
35,3,9.861573219299316,3.8999693393707275,3.8999696509823436,0.3954713160511146,1
35,4,4.376201629638672,3.7936928272247314,3.793692882271034,0.8668916901660136,1
35,5,8.793475151062012,3.99169659614563,3.9916963608976004,0.4539384631869395,1
35,6,13.003799438476562,5.276686668395996,5.276686182792743,0.4057803792930674,1
